Job Title,Rating,Salary Estimate Min,Salary Estimate Max,CompanyName,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Patient Safety- Associate Data Scientist,4,$79K,$131K ,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
Machine Learning Engineer,4.4,$79K,$131K ,NuWave Solutions,"Springfield, VA","Mc Lean, VA",51 to 200 employees,1999,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),
Senior Data Scientist,4.2,$79K,$131K ,ManTech,"Alexandria, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),
(Sr.) Data Scientist -,3.6,$79K,$131K ,Merrick Bank,Utah,"South Jordan, UT",201 to 500 employees,1997,Company - Private,Banks & Credit Unions,Finance,,
Data Scientist,3.4,$99K,$132K ,Mathematica Policy Research,"Washington, DC","Princeton, NJ",1001 to 5000 employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD),
Staff Data Scientist - Analytics,4.4,$99K,$132K ,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block"
Data Analytics Engineer,3.5,$99K,$132K ,QOMPLX,"Reston, VA","Reston, VA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),
"Data Scientist, Kinship - NYC/Portland",3.9,$99K,$132K ,Mars,"New York, NY","Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),
Senior Data Scientist,3.8,$99K,$132K ,GutCheck,"Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey"
Applied Technology Researcher / Data Scientist,3.5,$99K,$132K ,Inter-American Development Bank,"Washington, DC","Washington, DC",1001 to 5000 employees,1959,Other Organization,Banks & Credit Unions,Finance,$10+ billion (USD),"The World Bank, IMF"
Data Scientist,4.9,$99K,$132K ,Avlino,New Jersey,"Holmdel, NJ",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),
Machine Learning Engineer,4.4,$99K,$132K ,Stratagem Group,"Aurora, CO","Aurora, CO",1 to 50 employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,,
Health Data Scientist - Biomedical/Biostats,4.1,$99K,$132K ,Evidation,"Santa Barbara, CA","San Mateo, CA",51 to 200 employees,2012,Company - Private,Internet,Information Technology,,
Senior Data Scientist,4,$99K,$132K ,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),
